"ID,""Collection"",""ENS"",""Minting Date"",""Tx Count"",""Power"""
"1120118,""0xa2277f4ae7e6380de426fa334b05d4ceb39f1d47"",""luxetveritas.eth"",""Mon, 06 Sep 2021 17:57:10 GMT"",""1"",""1337"""
"1120121,""0x84e3e0f568ed68b4f6827fe797444b3d5b1fd8b5"",""l2nft.eth"",""Mon, 06 Sep 2021 17:57:30 GMT"",""1"",""1996"""
"1120126,""0x95080da6fec96385449a38f1d1f6295f2a2129dd"",""x00x.eth"",""Mon, 06 Sep 2021 17:58:15 GMT"",""1"",""44"""
"1120135,""0x39501a8d70bea6cd9527b9f38e3d5e9079dd8645"",""bigant.eth"",""Mon, 06 Sep 2021 17:59:10 GMT"",""1"",""661"""
"1120139,""0x5d46ed7405a8a87492cd139fcd38bce60cb5030e"",""b-wallet.eth"",""Mon, 06 Sep 2021 17:59:50 GMT"",""1"",""1706"""
"1120142,""0xa37bcecacad9816a0b834fedb0449b660e37bac0"","""",""Mon, 06 Sep 2021 17:59:50 GMT"",""1"",""355"""
"1120148,""0x6eafd23ed2fb7ac6107b07e4fb5e63862f5e77f3"",""mintfund.eth"",""Mon, 06 Sep 2021 18:00:35 GMT"",""1"",""895"""
"1120150,""0x84403430c0b8455f0c40853b686cf089915c4c52"",""sketchup.eth"",""Mon, 06 Sep 2021 18:00:50 GMT"",""1"",""1352"""
"1120151,""0x37824c71c04aa537e8ffe68f8c8d767228608ee5"","""",""Mon, 06 Sep 2021 18:00:55 GMT"",""1"",""20"""
"1120157,""0xb97b8c6238068e83daef8d651eb13635e0d45c85"","""",""Mon, 06 Sep 2021 18:01:40 GMT"",""1"",""865"""
"1120161,""0xd39ea633eadf1da46faecfd8189b569d04074931"","""",""Mon, 06 Sep 2021 18:02:05 GMT"",""1"",""316"""
"1120167,""0xf05abab203216009f6e41920845ed940c947acc1"","""",""Mon, 06 Sep 2021 18:03:10 GMT"",""1"",""717"""
"1120169,""0x721d6decba0fa5fbb9830704fb4d7ed1fba6e29e"",""shib.stateofus.eth"",""Mon, 06 Sep 2021 18:03:20 GMT"",""1"",""1072"""
"1120171,""0x31636c87d1844bef0597a0c6de9ad84b0b065815"","""",""Mon, 06 Sep 2021 18:03:55 GMT"",""1"",""169"""
"1120173,""0x6194a166ba7560fa0bde0a07c93e714574a1df3f"","""",""Mon, 06 Sep 2021 18:04:10 GMT"",""1"",""367"""
"1120174,""0x0bce3238fb72ece1e0ec7cac2cf4ee6c5ba2ff48"","""",""Mon, 06 Sep 2021 18:04:10 GMT"",""1"",""807"""
"1120175,""0x7005c3f79dc4ffcb50bbc5a9ec5fa599f795b527"","""",""Mon, 06 Sep 2021 18:04:10 GMT"",""1"",""600"""
"1120176,""0x567fdfa5c177987b9bab22e9eae42ce7ac788816"",""timlong.eth"",""Mon, 06 Sep 2021 18:04:10 GMT"",""1"",""280"""
"1120177,""0x652bcc6552b7faca387c674f0cbbf2f9ee61bdf3"","""",""Mon, 06 Sep 2021 18:04:10 GMT"",""1"",""258"""
"1120179,""0x3ecfba75d5a113241ec899888319a9e1e456ee9a"","""",""Mon, 06 Sep 2021 18:04:25 GMT"",""1"",""77"""
"1120180,""0x208be48b21338a25c0a7b10088637f4faf27b54c"","""",""Mon, 06 Sep 2021 18:04:55 GMT"",""1"",""293"""
"1120181,""0x69b0b6fb940e7a46a9a09440fd70e229d63ad2e2"","""",""Mon, 06 Sep 2021 18:05:10 GMT"",""1"",""1547"""
"1120182,""0x80a8426c97b5f408e986a69a8abe90ae2546657a"","""",""Mon, 06 Sep 2021 18:05:25 GMT"",""1"",""306"""
"1120184,""0xf58eac5c074bded0f10e7f58eb36da072b4111c3"",""vipnode.eth"",""Mon, 06 Sep 2021 18:05:45 GMT"",""1"",""919"""
"1120185,""0x177821cbe97b3eb0a20de1fd534bc7160cbcd76e"",""yanxi.eth"",""Mon, 06 Sep 2021 18:05:45 GMT"",""1"",""1784"""
